summary_path,summary_sha256,manifest_path,manifest_sha256,queue_source_path,queue_source_sha256,runtime_config_path,runtime_config_sha256,output_root,queue_run_id,route_kind,selected_points,ok_points,failed_points,dry_run,matching_profile_ids,point_directories,sidecars,samples,component_qc,classification,eligible_for_attestation_input,blocker_count,blocker_codes,historical_fit_allowed
D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v1\queue_summary.json,f4d5ac52baaeea480f02fcc6f34c1d0ca2be021a6c012263e4f0e4ea7eb8d94a,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1\co2_002090_targeted_tier_a_recollect_v1\queue_manifest.csv,90dafe1890e402a513bfba7139a6ca21b5810a8a24022d428ac01d1a6e737e40,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_runlist_v1\co2_002090_targeted_tier_a_queue_subset.csv,ead8ca03876be87315c38959e18916a990abf16dee42a7e7cb94ae48be27f973,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_runs_v1,co2_002090_targeted_tier_a_recollect_v1,co2,8,,,False,[],1,1,1,0,review_required,False,7,"[""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\queue_summary.json,57df455829a65a36e2c120c1c815b816de7253375a236021c7709b0a221eb273,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\queue_manifest.csv,dc4f23603faa3b3bb5e95cb1b7a1e2dac13edf3a7bcae37ebc47cb80b1639079,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\co2_runner_queue_T10_to_Tm20.csv,9a85e13ce4ed2045633c021a57a5e08ba0897e525fa4229cb7ff723b9a310541,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,co2,20,18.0,1.0,False,[],19,18,18,0,review_required,False,8,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\queue_summary.json,e57ba88ead74174ead1e8a5eca617037fd63691eedc4c4d675a993d7c647f0e1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\queue_manifest.csv,4daf01332201741a587bd46d34369e71ec76c6525ebf93b2919b2f168e53105f,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\co2_runner_queue_T30_to_Tm20.csv,222137215266d9b6ca853811579cb8bcf6fd59946ea66cf3ee6f8bacead31deb,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams,co2,42,,,False,[],16,15,15,0,review_required,False,8,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams\queue_summary.json,8b4e666e690903f9a4abbed1d12b0b07046a920e19c6e30313278b02fad65674,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams\queue_manifest.csv,a00cf43a051d95f9b5c28ee1a1b3cf3d47af92dc0d2a8abbaf2868336d34ef9a,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams\co2_runner_queue_T20_500_to_1000.csv,8dc8175cc79eaa5795a752e5587c60dc1bc43e098fbd9c7e47671b461bf07391,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams,co2_6old_0620clean_mature45_g8_T20_500_to_1000_notemp_finalparams,co2,6,,,False,[],1,0,0,0,review_required,False,8,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams\queue_summary.json,7eed3220f235d8817ab1f75d002d74ee74ad980b0e81527c4ec4c5fa28d88b0a,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams\queue_manifest.csv,b78824fab183f110e61b23258fe16425aac544b5fd3b30f4f22308b37c8ae9fe,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams\co2_runner_queue_T20_500_to_1000_240purge.csv,ad1a36a324e1dff6d2670823a3c901460318afb7a1847ae5501722d19390c6b2,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams,co2_6old_0620clean_mature45_g8b_T20_500_to_1000_notemp_240purge_finalparams,co2,6,,,False,[],1,0,0,0,review_required,False,8,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v1\queue_summary.json,c198df40a6f847ea0d2d9ce33fa9cb1ed3eaf78797faf632cdaa2c2e784d4ff1,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v1\queue_manifest.csv,e9efe5f54b1aba50d8676ac5f1cc9831b5a4b367f10f6f7c5249892422f74f80,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v1\h2o_lowrh_state_cycle_25c_30_50_30_queue.csv,c75044009b9ed9edc88a2d909e1396d084d4096c4ac0d15cb5d68573fa9738d7,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260707\h2o_lowrh_state_cycle_25c_30_50_30_v1,h2o_lowrh_state_cycle_25c_30_50_30_v1,h2o,3,,,False,[],2,0,0,0,review_required,False,8,"[""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260704\h2o_6old_mature0620_entry_dryrun_all13\current6_20260704_h2o_mature0620_entry_dryrun_all13\queue_summary.json,9b710933fae454b6a5fb1b96ebf8d2b2cfe341a571def39a5fdab81bda264a5f,D:\gas_calibrator\_p9_20260704\h2o_6old_mature0620_entry_dryrun_all13\current6_20260704_h2o_mature0620_entry_dryrun_all13\queue_manifest.csv,4ac92edf1d89219c0788b940b38466931f2bd37d990c2338158523600596fe59,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260704\h2o_6old_mature0620_entry_dryrun_all13,current6_20260704_h2o_mature0620_entry_dryrun_all13,h2o,13,0.0,0.0,True,"[""legacy_ratio_production""]",0,0,0,0,dry_run_only,False,8,"[""dry_run_not_historical_route_evidence"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""point_component_qc_incomplete"", ""point_directories_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams_dryrun\co2_6old_0620clean_mature45_g3_finalparams_dryrun\queue_summary.json,8637fe67fe0d757c27779e14de570a7153ea1d8ee753d3ce1feb0811c8b96e03,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams_dryrun\co2_6old_0620clean_mature45_g3_finalparams_dryrun\queue_manifest.csv,1c8fdaf8debb43203e5d84a493f9b32023d948835f1913a76141d74d080cb1f1,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams_dryrun,co2_6old_0620clean_mature45_g3_finalparams_dryrun,co2,45,0.0,0.0,True,"[""legacy_ratio_production""]",0,0,0,0,dry_run_only,False,8,"[""dry_run_not_historical_route_evidence"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""point_component_qc_incomplete"", ""point_directories_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1_dryrun\queue_summary.json,02128fdd9ac1d02b59bc8b972fc345ab5fbce2acd93d0039d5cdb17574cce13c,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1_dryrun\queue_manifest.csv,96cbfd620282f86e579d31f85ea2744fde65bc2499139c08ec2ce8f01ad47aea,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\h2o_runner_queue.csv,d95068b8285e62e4e5ac5dc56dbf9353b77a38b4f6dced658199cd22db0f9cfa,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1_dryrun,h2o_6old_0620clean_mature13_g1_dryrun,h2o,13,0.0,0.0,True,"[""legacy_ratio_production""]",0,0,0,0,dry_run_only,False,8,"[""dry_run_not_historical_route_evidence"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""point_component_qc_incomplete"", ""point_directories_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\h2o_005_bridge_repeat_20c_305070_dryrun\queue_summary.json,b14b74a36dc44bcb27857d68bd0b1c0a34d015688642211d3432cede3f7f85a2,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\h2o_005_bridge_repeat_20c_305070_dryrun\queue_manifest.csv,2ff5f52efbdeba24d9cd36a960531909a1efbca42e17f27e8d77ac1b5574e651,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\h2o_005_bridge_repeat_20c_305070_queue.csv,b911281c1994293057aa1bb1f93ba74b80da760271a3c8048ca46df4e2519d6f,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1,h2o_005_bridge_repeat_20c_305070_dryrun,h2o,3,0.0,0.0,True,[],3,3,3,0,dry_run_only,False,7,"[""dry_run_not_historical_route_evidence"", ""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o4_notemp25_305070_dryrun_v1\queue_summary.json,ca10cb7dd9c11f449fb71265100c0c0d0fb5fb0b66560de122eb5960b769e3e9,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o4_notemp25_305070_dryrun_v1\queue_manifest.csv,965f1f9612b9576e361b612ce517cb8139d9ece72fa657162d7d4b50a075c3de,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\h2o_4dev_post_s24_verify_notemp_25c_305070_queue.csv,d6fb30d5edc84e85b5c056f3464cbd15d20e6a39693952f53f0caf0fd420f79a,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1\runtime_identity_bound_config_4active_001002010090_no005_no076.json,e7ad94c903ce4a13fdb1a1c168139f16d87f9a8316d0cedc3d1a86a996fd9111,D:\gas_calibrator\_p9_20260708\h2o_4dev_post_s24_verify_notemp_25c_305070_v1,h2o4_notemp25_305070_dryrun_v1,h2o,3,0.0,0.0,True,[],3,3,3,0,dry_run_only,False,7,"[""dry_run_not_historical_route_evidence"", ""duplicate_queue_summary_for_output_root"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260704\co2_6old_mature0621_entry_dryrun_T40\current6_20260704_co2_mature0621_entry_dryrun_T40\queue_summary.json,5e582b1540c464c9d809ea34b4e8ba373ebc9f5f204455f3a70f5ad34e6038cd,D:\gas_calibrator\_p9_20260704\co2_6old_mature0621_entry_dryrun_T40\current6_20260704_co2_mature0621_entry_dryrun_T40\queue_manifest.csv,51a3fa5801e834189df0909923f17a430cb044a7d201aa85328d64a84d42b976,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\logs\v1_5_next_step_full_flow_plan_com18_20260618\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260704\co2_6old_mature0621_entry_dryrun_T40,current6_20260704_co2_mature0621_entry_dryrun_T40,co2,3,0.0,0.0,True,[],0,0,0,0,dry_run_only,False,9,"[""dry_run_not_historical_route_evidence"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_directories_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_dryrun_v1\co2_002090_targeted_tier_a_recollect_dryrun_v1\queue_summary.json,56d434a7f934038f23c0bc1d7cba7af9e5e80038943c2f4459f9214719ff3f1d,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_dryrun_v1\co2_002090_targeted_tier_a_recollect_dryrun_v1\queue_manifest.csv,009a420276ddde2f9a3d3375da309beca21c3c11933d18cd9d207c15575e865d,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_runlist_v1\co2_002090_targeted_tier_a_queue_subset.csv,ead8ca03876be87315c38959e18916a990abf16dee42a7e7cb94ae48be27f973,D:\gas_calibrator\_p9_20260704\pre_gas_readiness_6old_ready_for_co2_g1\v1_5_6old_co2_ready_config.json,981964d31397fe5f086015f5dc36201201e2a1823549bfe0fae8489ad1ef93d9,D:\gas_calibrator\_p9_20260708\co2_002090_targeted_recollect_queue_dryrun_v1,co2_002090_targeted_tier_a_recollect_dryrun_v1,co2,8,0.0,0.0,True,[],0,0,0,0,dry_run_only,False,9,"[""dry_run_not_historical_route_evidence"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""no_profile_matches_selected_point_count"", ""point_component_qc_incomplete"", ""point_directories_incomplete"", ""point_samples_incomplete"", ""point_sidecars_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_b_review_real\current6_20260625_h2o_b_review_real\queue_summary.json,b8b1afdd6706d4b59ea5d8f6c76993d6ca5a75d284305820291fbcb7bd884773,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_b_review_real\current6_20260625_h2o_b_review_real\queue_manifest.csv,bd57479118bb89762f9da66b8959d1deb130e8ac1ce45928b85ce66a6048aa08,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\h2o_runner_queue.csv,225194115924ab49b696d94f268d171e5441ddd7123500ff0c393337b67979bb,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_b_review_real,current6_20260625_h2o_b_review_real,h2o,13,1.0,0.0,False,"[""legacy_ratio_production""]",1,1,1,1,forbidden_source,False,5,"[""0624_source_forbidden"", ""formal_route_readiness_not_pass"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r7_real_nowrite\co2\current6_20260624_r7_real_nowrite_co2_r1\queue_summary.json,6e29d53f2640bc3738cfee86e549171f1ca0099216a3f07e9efa9046161cab71,,,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r7_real_nowrite\co2,current6_20260624_r7_real_nowrite_co2_r1,co2,45,,,False,"[""legacy_ratio_production""]",0,0,0,0,forbidden_source,False,5,"[""0624_source_forbidden"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r9_task_continuous_nowrite\co2\current6_20260624_r9_co2_continuous_full45_task\queue_summary.json,964d0523ac11bb5528703f81cadd43164d72f5b55968261504de99cf3062a930,,,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r9_task_continuous_nowrite\co2,current6_20260624_r9_co2_continuous_full45_task,co2,45,,,False,"[""legacy_ratio_production""]",0,0,0,0,forbidden_source,False,5,"[""0624_source_forbidden"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""queue_manifest_missing"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_001_a_grade_real\current6_20260625_h2o_001_a_grade_real\queue_summary.json,fda61ff0ece537bbd144f9d4179432b8afbd43566471d047cae91cd092f87d1d,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_001_a_grade_real\current6_20260625_h2o_001_a_grade_real\queue_manifest.csv,534001bf44412c947b1ad194fac9505ac62621399e728b040a286c0eec601a58,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\h2o_runner_queue.csv,225194115924ab49b696d94f268d171e5441ddd7123500ff0c393337b67979bb,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_001_a_grade_real,current6_20260625_h2o_001_a_grade_real,h2o,13,0.0,1.0,False,"[""legacy_ratio_production""]",1,1,1,1,forbidden_source,False,6,"[""0624_source_forbidden"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\current6_20260624_r10_co2_continuous_full45_task_direct\queue_summary.json,b50613711dcc84dd393ba8c676361ffe4e05753661c4d65020486d613aabea28,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\current6_20260624_r10_co2_continuous_full45_task_direct\queue_manifest.csv,843fb5877455ab24eff1379778020465a80084097587ef48b7703e4039ce807a,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2,current6_20260624_r10_co2_continuous_full45_task_direct,co2,45,43.0,2.0,False,"[""legacy_ratio_production""]",45,45,43,43,forbidden_source,False,7,"[""0624_source_forbidden"", ""direct_source_forbidden"", ""manifest_contains_non_ok_point"", ""migration_source_forbidden"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r8_real_continuous_nowrite\co2\current6_20260624_r8_co2_continuous_full45\queue_summary.json,2f861d6fd75e6f40a0ff8a1255316952ed3214c439a72355bb46673608046d89,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r8_real_continuous_nowrite\co2\current6_20260624_r8_co2_continuous_full45\queue_manifest.csv,d9c79727a0dc7354cc02ade7d43b8c3db614cecbe915507936d70ac3530dea8d,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\co2_runner_queue.csv,4c0ceb5ddaff0c01b63d488ae09480dbc49dee1532d821d2b3871225a8e99b60,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r8_real_continuous_nowrite\co2,current6_20260624_r8_co2_continuous_full45,co2,45,,,False,"[""legacy_ratio_production""]",2,2,1,0,forbidden_source,False,7,"[""0624_source_forbidden"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""queue_summary_not_finalized_clean""]",False
D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_purge720_real\current6_20260625_h2o_purge720_real\queue_summary.json,d90632dfd83075f0f08ce8c470a0efb8fdd689d178278a9a9df7f57a60f78cdd,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_purge720_real\current6_20260625_h2o_purge720_real\queue_manifest.csv,319b22803d7c4eee57e55fe9d30ba94a75e148e1cb7b81a4552ffcd93b509007,D:\gas_calibrator\_handoff\v1_5_formal_queue_migration_20260624\canonical_open_flow_points\h2o_runner_queue.csv,225194115924ab49b696d94f268d171e5441ddd7123500ff0c393337b67979bb,D:\gas_calibrator\_handoff\runtime_configs\identity_bound_route_runtime_config_current6_20260624_r6_co2_ratio_gate_explicit_draft.json,e3830bf62a8e9181c1331482199e0c92a147387aefe4563b126964f152e7c516,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260625\h2o_purge720_real,current6_20260625_h2o_purge720_real,h2o,13,0.0,1.0,False,"[""legacy_ratio_production""]",1,1,0,0,forbidden_source,False,8,"[""0624_source_forbidden"", ""formal_route_readiness_not_pass"", ""manifest_contains_non_ok_point"", ""manifest_row_count_mismatch"", ""migration_source_forbidden"", ""point_component_qc_incomplete"", ""point_samples_incomplete"", ""queue_summary_not_finalized_clean""]",False
