candidate_index,route_kind,point_name,point_dir,planned_output_path,source_artifact_count,source_packet_sha256,preflight_json_sha256,blocked_plan_json_sha256,candidate_binding_sha256,binding_ready_for_design_review,blocker_codes,payload_derivation_supported,write_execution_supported,target_create_mode,overwrite_allowed,manual_gate_review_required
37,co2,p010_T10_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p010_T10_900ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p010_T10_900ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,dc5ef562cea3de9aa044e29502e47fa62e85542e7ccacf00123c0d6a81b9133d,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,030be1e9adf395c489c886a6511aecb472baff1d5abb5bf6ddc9f73866f97e63,True,[],False,False,exclusive_create_only_future_contract,False,True
38,co2,p011_T10_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p011_T10_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p011_T10_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,8f80c676e2778623eae939f7555b5f13fd04210efd02821116ceed50ec1fe7bd,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,e26595db6e083c1df977666b667970f543911913fdee7fa828d439e6693af7dc,True,[],False,False,exclusive_create_only_future_contract,False,True
39,co2,p012_T0_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p012_T0_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p012_T0_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,4eb1bb0950e860a1883d89badcf97c8c268d9c5382c84d084038dda58d73e6d1,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,29f66636a2769449ef46242ed66b03993cc59d1961c6342762a8c5195bced6d0,True,[],False,False,exclusive_create_only_future_contract,False,True
40,co2,p013_T0_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p013_T0_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p013_T0_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,6c81e21b099fc90c79b5a5970d10d266171cf3c79149b3617f9411dc2cd8ba20,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,f7a5701642e1ac6df582e82cfde64c88f9067c9615cb128f4ab2b8365ad2c579,True,[],False,False,exclusive_create_only_future_contract,False,True
41,co2,p014_T0_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p014_T0_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p014_T0_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,decf370625cbbbeff9791d85ca669a5fc0dccd20c7d042f47137c0ccb99fe4a7,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,c2bee3fff04229be16eaf7d5a408ee50f0370d3450cf03be402a49ddd48eb9b5,True,[],False,False,exclusive_create_only_future_contract,False,True
42,co2,p015_Tm10_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p015_Tm10_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p015_Tm10_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,6c42687897b65af56796d50745bc2bf1026fd93c931bdffa4883aa1f6c0ef5b1,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,319b38719eb03b035b7b3df75c76795df8e9e8f104acdeba1e220029825ef57a,True,[],False,False,exclusive_create_only_future_contract,False,True
43,co2,p016_Tm10_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p016_Tm10_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p016_Tm10_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,7dcdb36b6ff3db418d05dbf11c35c62139da2bafb54b70d6623ae5ee09ef62fd,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,cbc2086f37b0616a3bbf7028a800f47230c5451b438956569db99821e1a92ab8,True,[],False,False,exclusive_create_only_future_contract,False,True
44,co2,p017_Tm10_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p017_Tm10_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p017_Tm10_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,578c8440a96fc887c579c3af5a18de1575d221aecffef99d4375e2020ddbc514,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,e0679c7607b82267ce70d4a6a65f5e750ddf036f07ac33ba55f2a6d925027f5b,True,[],False,False,exclusive_create_only_future_contract,False,True
45,co2,p018_Tm20_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p018_Tm20_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams\p018_Tm20_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,e36c84fcac1de4ca9113edea192b9a999c6dd1bf31834c5f771ed5bad500b301,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,e67159602bac7ebdfdb07138b258cec8d1e8235e3d56ee8f7a85fc4c1bbeafb7,True,[],False,False,exclusive_create_only_future_contract,False,True
46,h2o,p001_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p001_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p001_T20_HG20C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,44d2832ebcaac996ef58dfdc44131cd19a0d1783c9585ad618c13f2b554dfb25,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,dfc9dd74fc770a97524384c9ad445678e1710503e89d4e48feeb4ac8714de198,True,[],False,False,exclusive_create_only_future_contract,False,True
47,h2o,p002_T20_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p002_T20_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p002_T20_HG20C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,5ed69bd3e78cd8aa8dcbb98cc1fd1a0297b060e52815e507802522e45b29b22c,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,d0be8530e007003f69baa8b904c5c65cca2f9d0d5af02752795ddda8b6908d37,True,[],False,False,exclusive_create_only_future_contract,False,True
48,h2o,p003_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p003_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_005_bridge_repeat_20c_305070_v1\p003_T20_HG20C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,dbb21f2c7a728233c8ce1ebae9ab19d04a0fd5e8391037c4f21878f8d0114506,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,8f49c33ba354486cd9546ddec197f99506a5d1764cd843c876c8b577e699b752,True,[],False,False,exclusive_create_only_future_contract,False,True
49,h2o,p001_T0_HG0C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4\p001_T0_HG0C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4\p001_T0_HG0C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,c25414144be16848aad3412169f5f47b77e5ef74fd92628320b8c81113a0f9d5,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,80872d784c12007a2c399df22c5b1f865cf14fad3b20aa0f8fa552708c75d4fb,True,[],False,False,exclusive_create_only_future_contract,False,True
50,h2o,p002_T10_HG10C_30RH_retry1,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_p002_retry1\p002_T10_HG10C_30RH_retry1,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_p002_retry1\p002_T10_HG10C_30RH_retry1\formal_open_flow_data_quality_by_analyzer.csv,7,dd49b862e8b8d6c5ba63091c47619fdf5691355a91a1876e105416b6ece89012,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,f858d03c7316a03e86aa08d232e7769e5abae84bf23a61850a76c1d4907549f8,True,[],False,False,exclusive_create_only_future_contract,False,True
51,h2o,p001_T10_HG10C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p001_T10_HG10C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p001_T10_HG10C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,ed1eb70a09daea2a53887630bbc94f35f2014bb8b3c07548c214a703f484f595,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,3d5befaf42d16a9367aa5ed3ef9134d34b8421b5d48ac0490a306a0c39799242,True,[],False,False,exclusive_create_only_future_contract,False,True
52,h2o,p002_T10_HG10C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p002_T10_HG10C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p002_T10_HG10C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,e703fb8bb0ceb13d1049c9ad3d8132dcfa75e132109a8c039f543388a7720c9c,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,b5a34863b002784e8d4b2e3d8c55ca946bf1f94824c8b0f05f0bc3d3067d7c83,True,[],False,False,exclusive_create_only_future_contract,False,True
53,h2o,p003_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p003_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p003_T20_HG20C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,a982a246edca3ed44dd464f69d1553558a419c41bb77b301b58c2596a2662210,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,3fe4ce1fdc8d568d0cbb98694dc8f81ef6615b080af4764b30943cfd6fa5cb12,True,[],False,False,exclusive_create_only_future_contract,False,True
54,h2o,p004_T20_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p004_T20_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p004_T20_HG20C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,239cfe3ab4d4d3584829ffaa8a180e5d3397c5162e6634ae7d751dea332e68a4,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,1d62cfd3109982a8c2e0e5fc8712f2cc0a7488993511838c85802dec35be97eb,True,[],False,False,exclusive_create_only_future_contract,False,True
55,h2o,p005_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p005_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p005_T20_HG20C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,246d2f114c16a4da74ef448c7a81bc56001b45f9a0b9e601c094826ca2736fa9,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,b25556c4bf7fbe31b074ce5e2194cb5cac257d36988c35a94bd3a2726c6d915f,True,[],False,False,exclusive_create_only_future_contract,False,True
56,h2o,p006_T30_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p006_T30_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p006_T30_HG20C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,f35e146031164d7312b0cd90337d045fbcfc2dc517f387414ebfbbe559046014,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,cf223354b1fd7b18c80b146bd4a2bb47808aa5f2258ce5f10d3e38df201a8132,True,[],False,False,exclusive_create_only_future_contract,False,True
57,h2o,p007_T30_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p007_T30_HG20C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p007_T30_HG20C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,5d8f90f8d994252297b72a294783affb4025be5f66263e8e7f9610b8bfef2946,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,4794c7f25f9d59a434b58a7edbaf98d5255cba2a1d969e2a94a30fdb980bd986,True,[],False,False,exclusive_create_only_future_contract,False,True
58,h2o,p008_T30_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p008_T30_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p008_T30_HG20C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,10d2d59290440ae8312a5f2546f6d95173b70f93075a27999da3d0bf15bbe8ff,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,f379a754a5e4aaf11b4dff6bb57e59bcca4ba46bfad3fc81e72f3fc45b47d1c2,True,[],False,False,exclusive_create_only_future_contract,False,True
59,h2o,p009_T30_HG20C_90RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p009_T30_HG20C_90RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p009_T30_HG20C_90RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,2b4a69667c7907349f0c0a318bb27336b268396b95853488e27b370b91ce146f,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,78048a07c2f16de22f142f86bbf69032bacaceffbc959a4c461940f2f5459be2,True,[],False,False,exclusive_create_only_future_contract,False,True
60,h2o,p010_T40_HG30C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p010_T40_HG30C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p010_T40_HG30C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,73170614d6f307782b997740b476ec57ce7efebfdd93714e99c5adc306fa692b,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,391c4d2c6869bc480213460019d1bb255e6b3019ae5249c1191d0856060a0d16,True,[],False,False,exclusive_create_only_future_contract,False,True
61,h2o,p011_T40_HG30C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p011_T40_HG30C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_remaining_p003_p013_g5\p011_T40_HG30C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,25eec6480024e8a6c118321914c74079e1e5dc423a47562882d8f88901506ad0,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,846887915ec74fff7dbcfef1b0dcaf87619eea227bb60e00ba78a7fd5d23cf6f,True,[],False,False,exclusive_create_only_future_contract,False,True
62,h2o,p001_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\p001_T20_HG20C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\p001_T20_HG20C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,915caf80ef308a667bf3308dd57c347ae961f729155d01c1e9592970cf9d682f,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,f05a1c688ebad19b939918ab755fd968caaf709487cae71324534cd519bb518b,True,[],False,False,exclusive_create_only_future_contract,False,True
63,h2o,p002_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\p002_T20_HG20C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_no_temp_control_v1\p002_T20_HG20C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,231e281a103f4943e1d5be4221ad8140466da22685185e83c465d0237ee08155,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,b0fd910fdf36e504f8d897315908034c0467a644462de66990e0347b01fbbc7a,True,[],False,False,exclusive_create_only_future_contract,False,True
64,h2o,p001_T25_HG25C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\p001_T25_HG25C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\p001_T25_HG25C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,e015e506b3baf54c51f91d1d86d0f3772e2d784ff69f58584ec826e191ba609f,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,e8f41d27dcefb25de64067c1e64df5e1f44ab00e3d0fe6434a8fb9e94b381019,True,[],False,False,exclusive_create_only_future_contract,False,True
65,h2o,p002_T25_HG25C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\p002_T25_HG25C_70RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_post_senco24_write_verification_5dev_temp25_control_v1\p002_T25_HG25C_70RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,17c0ff68529116d656bfe1df130f5241dab9858b3a051194a6f013afd742eca3,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,2ae2f5c1362edcf8ccb07ec2b0e15957f41d5049c8fc4a323f7bf6e2a04d7be4,True,[],False,False,exclusive_create_only_future_contract,False,True
66,h2o,p001_T25_HG25C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_state_transfer_diagnostic_25c_30rh_retry_v1\p001_T25_HG25C_30RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_state_transfer_diagnostic_25c_30rh_retry_v1\p001_T25_HG25C_30RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,b8db1a16249de9c9612dd684bcb89d7d7b23f511a0151d72fbd8061467e58963,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,e70cd02ef57d4b76f8e70f39aae8d8af725b37b2a70c4b838056b99b065d2f2b,True,[],False,False,exclusive_create_only_future_contract,False,True
67,h2o,p001_T25_HG25C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_state_transfer_diagnostic_25c_50rh_real_point_v1\p001_T25_HG25C_50RH_h2o,D:\gas_calibrator\_p9_20260706\h2o_state_transfer_diagnostic_25c_50rh_real_point_v1\p001_T25_HG25C_50RH_h2o\formal_open_flow_data_quality_by_analyzer.csv,7,08f478a2f55d8d508d95921f5b19bcfc6c2218dac64b793116c8c0ba77378df5,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,00cb4c71847b2344d5210e8bac213c46aa7a74cfca9e0f62d691fc027b614189,True,[],False,False,exclusive_create_only_future_contract,False,True
68,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p001_T40_0ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p001_T40_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,5872ed7a7e797b1ddeb3432013e8346559ddc6f9811f46d5f2ae9b23cd532365,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,14dbe4dedb41010d4c57c0095508aa105f843493346cda85d7b35204250ad5e9,True,[],False,False,exclusive_create_only_future_contract,False,True
69,co2,p002_T40_400ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p002_T40_400ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p002_T40_400ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,436f415267a095f18ceeaa0a63f51cda7875917a4eb27b5b50ac261d6e7a8274,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,36975879cca0b607794fd679b99b1947c54f66a78d6acdce1213419efe93a304,True,[],False,False,exclusive_create_only_future_contract,False,True
70,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p003_T40_1000ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p003_T40_1000ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,8a06f73e4519ab840a8367586c11cf8f25e47e1ed99f00636e52666dd6841ef8,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,6f883a45b4a80731fda8ff8a1c67f54a9d0114fa5deba035ada24915fdabf4da,True,[],False,False,exclusive_create_only_future_contract,False,True
71,co2,p004_T30_0ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p004_T30_0ppm_fit,D:\gas_calibrator\_worktrees\v1_5_fixed_wait_window_gate_1aee26d_clean\_handoff\new_algo_001_init_20260627\formal\co2_open_flow_0620_mature_20260627_r1\co2_r2\p004_T30_0ppm_fit\formal_open_flow_data_quality_by_analyzer.csv,5,ed5c6f542ecc59e1a2997d45d804584e24aa0971f7a4de61eacdd2b3c49e18fa,46e594a742e48f8618c74ab06d2dda251f83904cf2f61231fa13c76a30e05772,e268a8425d6dc2c1ebb995a6dcc8483fd2bc214c582496530f69d08038ee3285,990ee7c1d11da88602ae42d2ff2892ca71cb2dcdc4948656c0cc726e51fd7ec3,True,[],False,False,exclusive_create_only_future_contract,False,True
