ts,elapsed_since_route_close_s,event_type,source,trace_stage,detail,pace_pressure_hpa,com22_pressure_hpa,dewpoint_c,duration_s,blocking_gate_or_function,required_by_v2_protected_path
2026-05-19T13:06:38.061,90.184,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:39.133,91.256,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1159.5187988, 0",,,,,,
2026-05-19T13:06:39.234,91.357,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:40.319,92.442,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1158.9289551, 0",,,,,,
2026-05-19T13:06:40.422,92.545,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:41.490,93.613,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1158.3471680, 0",,,,,,
2026-05-19T13:06:41.593,93.716,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:42.668,94.791,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1157.7593994, 0",,,,,,
2026-05-19T13:06:42.770,94.893,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:43.584,95.707,dewpoint timeline,COM17 io_log,,dewpoint=-13.3C temp=30.86C rh=0.0%,,,-13.3,,,
2026-05-19T13:06:43.841,95.964,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1157.1744385, 0",,,,,,
2026-05-19T13:06:43.944,96.067,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:45.013,97.136,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1156.5938721, 0",,,,,,
2026-05-19T13:06:45.116,97.239,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:46.197,98.32,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1156.0236816, 0",,,,,,
2026-05-19T13:06:46.299,98.422,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:47.625,99.748,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1155.4488525, 0",,,,,,
2026-05-19T13:06:47.727,99.85,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:48.796,100.919,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1154.7513428, 0",,,,,,
2026-05-19T13:06:48.900,101.023,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:49.967,102.09,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1154.1805420, 0",,,,,,
2026-05-19T13:06:50.069,102.192,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:50.394,102.517,operator_window_check,pressure_transition_trace,operator_window_check_result,"result=operator_window_check; exit_method=pace.exit_atmosphere_mode; reason=before CO2 pressure seal; wait_status=2; VENT?=2; OUTP:STAT=0; OUTP:MODE=ACT; ISOL:STAT=1; SYST:ERR?=:SYST:ERR 0, No error; operator_window_confirm_mode=console; operator_window_clear_timeout_s=30.000; operator_window_cleared_after_vent0=unknown; operator_window_note=timeout; operator_window_response_raw=",,,,,,
2026-05-19T13:06:50.396,102.519,trace_stage,pressure_transition_trace,route_sealed,controlled OUTP route sealed for pressure control; preseal_ready=deferred_live_check,1154.180542,1176.973,,,,
2026-05-19T13:06:51.137,103.26,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1153.6208496, 0",,,,,,
2026-05-19T13:06:51.793,103.916,control_ready_or_output_stage,pressure_transition_trace,control_prepare_begin,before pressure controller ready-for-control check,,,,,,
2026-05-19T13:06:51.794,103.917,control_ready_or_output_stage,pressure_transition_trace,control_preseal_ready_reuse_begin,reuse preseal vent-off state age_s=1.399 target_delta_hpa=0.0 live_ready_check=deferred,,,,,,
2026-05-19T13:06:51.796,103.919,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:06:52.849,104.972,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:06:52.850,104.973,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:06:53.913,106.036,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:06:53.915,106.038,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:06:55.009,107.132,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:06:55.078,107.201,SYST:ERR? query,pace_raw_serial_tap,,:SYST:ERR?,,,,,,
2026-05-19T13:06:56.135,108.258,SYST:ERR result,pace_raw_serial_tap,,":SYST:ERR 0, No error",,,,,,
2026-05-19T13:06:56.136,108.259,STAT:OPER query,pace_raw_serial_tap,,:STAT:OPER:PRES:COND?,,,,,,
2026-05-19T13:06:57.214,109.337,STAT:OPER result,pace_raw_serial_tap,,:STAT:OPER:PRES:COND 1,,,,,,
2026-05-19T13:06:57.216,109.339,STAT:OPER query,pace_raw_serial_tap,,:STAT:OPER:PRES:EVEN?,,,,,,
2026-05-19T13:06:58.288,110.411,STAT:OPER result,pace_raw_serial_tap,,:STAT:OPER:PRES:EVEN 0,,,,,,
2026-05-19T13:06:58.288,110.411,control_ready_or_output_stage,pressure_transition_trace,pace_phase_profile:sealed_control_ready,sealed control-ready phase profile before OUTP1/setpoint,,,,,,
2026-05-19T13:06:58.289,110.412,control_ready_or_output_stage,pressure_transition_trace,control_ready_snapshot_acquired,reused preseal vent-off state; deferred live ready check before setpoint,,,,,,
2026-05-19T13:06:58.289,110.412,control_ready_or_output_stage,pressure_transition_trace,control_ready_verified,reused preseal vent-off state; deferred live ready check before setpoint,,,,,,
2026-05-19T13:06:58.290,110.413,control_ready_or_output_stage,pressure_transition_trace,control_vent_off_verified,reused preseal vent-off state; controller ready before setpoint,,,,,,
2026-05-19T13:06:58.291,110.414,PACE pressure/in-limits query,pace_raw_serial_tap,,:SENS:PRES:INL?,,,,,,
2026-05-19T13:06:59.369,111.492,PACE pressure/in-limits result,pace_raw_serial_tap,,":SENS:PRES:INL 1149.6423340, 0",,,,,,
2026-05-19T13:07:01.574,113.697,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:07:02.637,114.76,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:07:02.639,114.762,ISOL? query,pace_raw_serial_tap,,:OUTP:ISOL:STAT?,,,,,,
2026-05-19T13:07:03.700,115.823,ISOL? result,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:07:03.701,115.824,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:07:04.793,116.916,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:07:04.794,116.917,control_ready_or_output_stage,pressure_transition_trace,sealed_control_output_enable_begin,timeout_s=3.000 poll_s=0.200,1149.642334,1151.519,,,,
2026-05-19T13:07:04.796,116.919,OUTP? query,pace_raw_serial_tap,,:OUTP:STAT?,,,,,,
2026-05-19T13:07:05.852,117.975,OUTP? result,pace_raw_serial_tap,,:OUTP:STAT 0,,,,,,
2026-05-19T13:07:05.854,117.977,ISOL command,pace_raw_serial_tap,,:OUTP:ISOL:STAT 1,,,,,,
2026-05-19T13:07:05.872,117.995,VENT? query,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT?,,,,,,
2026-05-19T13:07:06.964,119.087,VENT? result,pace_raw_serial_tap,,:SOUR:PRES:LEV:IMM:AMPL:VENT 2,,,,,,
2026-05-19T13:07:06.967,119.09,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:07:06.982,119.105,OUTP mode command/query,pace_raw_serial_tap,,:OUTP:MODE?,,,,,,
2026-05-19T13:07:08.038,120.161,PACE RX,pace_raw_serial_tap,,:OUTP:MODE ACT,,,,,,
2026-05-19T13:07:08.039,120.162,OUTP1 tx,pace_raw_serial_tap,,:OUTP 1,,,,,,
2026-05-19T13:08:15.801,187.924,first_sampling,samples,,first sample row,,,,,,
